Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,_report_date,_source_file,_ingested_at
Unknown,United Kingdom,2020-02-01T01:52:40,2,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
"Chicago, IL",US,2020-02-01T19:43:03,2,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
"Santa Clara, CA",US,2020-02-03T00:43:02,2,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
,Belgium,2020-02-04T15:43:02,1,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
,Cambodia,2020-01-31T08:15:53,1,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
British Columbia,Canada,2020-02-01T18:12:49,1,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
"London, ON",Canada,2020-02-04T00:03:11,1,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
,Finland,2020-01-31T08:15:53,1,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Tibet,Mainland China,2020-02-01T01:52:40,1,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
,Nepal,2020-01-31T08:15:53,1,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
,Spain,2020-02-01T23:43:02,1,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
,Sri Lanka,2020-01-31T08:15:53,1,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
,Sweden,2020-02-01T02:13:26,1,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
"Boston, MA",US,2020-02-01T19:43:03,1,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
"Los Angeles, CA",US,2020-02-01T19:53:03,1,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
"Orange, CA",US,2020-02-01T19:53:03,1,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
"Seattle, WA",US,2020-02-01T19:43:03,1,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
"Tempe, AZ",US,2020-02-01T19:43:03,1,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Unknown,China,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
,Kiribati,2020-02-04T23:43:01,0,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
