Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,_report_date,_source_file,_ingested_at
Hubei,Mainland China,2020-02-11T23:33:02,33366,1068,2639,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Guangdong,Mainland China,2020-02-11T14:03:05,1177,1,212,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Zhejiang,Mainland China,2020-02-11T12:53:02,1117,0,270,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Henan,Mainland China,2020-02-11T14:03:05,1105,7,218,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Hunan,Mainland China,2020-02-11T12:53:02,912,1,247,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Anhui,Mainland China,2020-02-11T09:43:02,860,4,105,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Jiangxi,Mainland China,2020-02-11T14:03:05,804,1,128,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Jiangsu,Mainland China,2020-02-11T08:13:06,515,0,93,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Chongqing,Mainland China,2020-02-11T23:53:02,505,3,79,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Shandong,Mainland China,2020-02-11T11:23:04,487,1,80,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Sichuan,Mainland China,2020-02-11T11:23:04,417,1,85,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Heilongjiang,Mainland China,2020-02-11T11:23:04,360,8,28,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Beijing,Mainland China,2020-02-11T03:03:07,342,3,48,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Shanghai,Mainland China,2020-02-11T06:23:02,303,1,52,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Fujian,Mainland China,2020-02-11T14:03:05,267,0,45,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Hebei,Mainland China,2020-02-11T11:23:04,239,2,48,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Shaanxi,Mainland China,2020-02-11T06:03:16,219,0,32,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Guangxi,Mainland China,2020-02-11T11:23:04,215,1,33,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Yunnan,Mainland China,2020-02-11T09:23:04,153,0,20,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Hainan,Mainland China,2020-02-11T14:33:02,144,3,20,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Diamond Princess cruise ship,Others,2020-02-10T16:03:12,135,0,0,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Guizhou,Mainland China,2020-02-11T14:03:05,127,1,17,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Shanxi,Mainland China,2020-02-11T23:33:02,124,0,30,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Liaoning,Mainland China,2020-02-11T12:53:02,111,0,19,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Tianjin,Mainland China,2020-02-11T23:13:05,106,2,10,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Gansu,Mainland China,2020-02-11T15:23:04,86,2,24,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Jilin,Mainland China,2020-02-11T08:03:06,81,1,18,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Inner Mongolia,Mainland China,2020-02-10T02:43:05,58,0,5,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Xinjiang,Mainland China,2020-02-11T09:13:11,55,0,3,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Ningxia,Mainland China,2020-02-11T10:03:08,53,0,22,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
Hong Kong,Hong Kong,2020-02-11T09:43:02,49,1,0,2020-02-11,02-11-2020.csv,2026-05-18 17:40:29.596764
