Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,_report_date,_source_file,_ingested_at
Hubei,Mainland China,2020-02-15T23:13:05,56249,1596,5623,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Guangdong,Mainland China,2020-02-15T14:03:04,1294,2,410,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Henan,Mainland China,2020-02-15T12:13:08,1212,13,391,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Zhejiang,Mainland China,2020-02-15T11:23:17,1162,0,428,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Hunan,Mainland China,2020-02-15T13:03:04,1001,2,425,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Anhui,Mainland China,2020-02-15T12:13:08,950,6,221,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Jiangxi,Mainland China,2020-02-15T01:33:02,913,1,210,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Jiangsu,Mainland China,2020-02-15T12:13:08,604,0,186,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Chongqing,Mainland China,2020-02-15T23:23:07,544,5,184,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Shandong,Mainland China,2020-02-15T11:23:17,532,2,156,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Sichuan,Mainland China,2020-02-15T08:43:03,470,1,119,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Heilongjiang,Mainland China,2020-02-15T11:43:01,425,11,68,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Beijing,Mainland China,2020-02-15T09:53:01,375,4,98,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Shanghai,Mainland China,2020-02-15T03:13:06,326,1,124,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Hebei,Mainland China,2020-02-15T13:03:04,291,3,101,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Fujian,Mainland China,2020-02-15T13:03:04,285,0,71,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Diamond Princess cruise ship,Others,2020-02-15T17:03:04,285,0,0,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Guangxi,Mainland China,2020-02-15T06:33:01,235,2,44,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Shaanxi,Mainland China,2020-02-15T12:13:08,232,0,60,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Yunnan,Mainland China,2020-02-15T06:33:01,168,0,42,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Hainan,Mainland China,2020-02-15T11:23:17,162,4,39,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Guizhou,Mainland China,2020-02-15T14:53:04,143,1,41,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Shanxi,Mainland China,2020-02-15T23:13:05,128,0,46,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Tianjin,Mainland China,2020-02-15T13:43:01,122,3,37,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Liaoning,Mainland China,2020-02-15T09:53:01,119,1,31,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Gansu,Mainland China,2020-02-15T12:13:08,90,2,49,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Jilin,Mainland China,2020-02-15T12:13:08,88,1,26,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
,Singapore,2020-02-15T23:53:02,72,0,18,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Ningxia,Mainland China,2020-02-15T08:43:03,70,0,33,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Xinjiang,Mainland China,2020-02-15T09:53:01,70,1,10,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Inner Mongolia,Mainland China,2020-02-15T14:03:04,68,0,7,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Hong Kong,Hong Kong,2020-02-14T09:03:12,56,1,1,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
,Japan,2020-02-15T17:43:06,43,1,12,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
,Thailand,2020-02-13T17:53:03,34,0,13,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
,South Korea,2020-02-15T23:33:02,28,0,9,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Qinghai,Mainland China,2020-02-15T08:43:03,18,0,13,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Taiwan,Taiwan,2020-02-15T03:43:02,18,0,2,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
,Germany,2020-02-13T15:13:11,16,0,1,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
,Vietnam,2020-02-13T06:33:02,16,0,7,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
,France,2020-02-15T20:53:02,12,1,4,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Macau,Macau,2020-02-13T14:13:06,10,0,3,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Unknown,United Kingdom,2020-02-12T19:03:06,9,0,1,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
,United Arab Emirates,2020-02-15T06:03:03,8,0,3,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Queensland,Australia,2020-02-09T19:33:02,5,0,0,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
New South Wales,Australia,2020-02-13T17:53:03,4,0,4,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
Victoria,Australia,2020-02-13T17:53:03,4,0,4,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
British Columbia,Canada,2020-02-07T05:43:03,4,0,0,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
,India,2020-02-13T18:53:02,3,0,0,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
,Italy,2020-02-07T17:53:02,3,0,0,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
,Philippines,2020-02-12T07:43:02,3,1,1,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
South Australia,Australia,2020-02-02T22:33:07,2,0,0,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
"Toronto, ON",Canada,2020-02-04T00:13:06,2,0,0,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
,Russia,2020-02-12T14:43:03,2,0,2,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
,Spain,2020-02-15T17:23:04,2,0,2,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
"Chicago, IL",US,2020-02-09T19:03:03,2,0,2,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
"San Diego County, CA",US,2020-02-13T03:13:08,2,0,0,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
"Santa Clara, CA",US,2020-02-03T00:43:02,2,0,0,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
,Belgium,2020-02-04T15:43:02,1,0,0,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
,Cambodia,2020-02-12T07:43:02,1,0,1,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
"London, ON",Canada,2020-02-12T18:53:03,1,0,1,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
,Egypt,2020-02-14T23:53:02,1,0,0,2020-02-15,02-15-2020.csv,2026-05-18 17:40:32.249582
