Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,_report_date,_source_file,_ingested_at
Hubei,Mainland China,2020-02-28T00:43:01,65914,2682,26403,2020-02-28,02-28-2020.csv,2026-05-18 17:40:40.519661
,South Korea,2020-02-28T08:53:03,2337,13,22,2020-02-28,02-28-2020.csv,2026-05-18 17:40:40.519661
Guangdong,Mainland China,2020-02-28T08:53:03,1348,7,935,2020-02-28,02-28-2020.csv,2026-05-18 17:40:40.519661
Henan,Mainland China,2020-02-28T09:23:02,1272,20,1112,2020-02-28,02-28-2020.csv,2026-05-18 17:40:40.519661
Zhejiang,Mainland China,2020-02-28T10:03:12,1205,1,975,2020-02-28,02-28-2020.csv,2026-05-18 17:40:40.519661
Hunan,Mainland China,2020-02-28T09:13:10,1017,4,830,2020-02-28,02-28-2020.csv,2026-05-18 17:40:40.519661
Anhui,Mainland China,2020-02-28T04:43:02,990,6,821,2020-02-28,02-28-2020.csv,2026-05-18 17:40:40.519661
Jiangxi,Mainland China,2020-02-28T01:13:11,935,1,790,2020-02-28,02-28-2020.csv,2026-05-18 17:40:40.519661
,Italy,2020-02-28T20:13:09,888,21,46,2020-02-28,02-28-2020.csv,2026-05-18 17:40:40.519661
Shandong,Mainland China,2020-02-28T09:23:02,756,6,405,2020-02-28,02-28-2020.csv,2026-05-18 17:40:40.519661
Diamond Princess cruise ship,Others,2020-02-28T20:53:02,705,6,10,2020-02-28,02-28-2020.csv,2026-05-18 17:40:40.519661
Jiangsu,Mainland China,2020-02-28T08:53:03,631,0,515,2020-02-28,02-28-2020.csv,2026-05-18 17:40:40.519661
Chongqing,Mainland China,2020-02-28T23:23:03,576,6,422,2020-02-28,02-28-2020.csv,2026-05-18 17:40:40.519661
Sichuan,Mainland China,2020-02-28T09:23:02,538,3,338,2020-02-28,02-28-2020.csv,2026-05-18 17:40:40.519661
Heilongjiang,Mainland China,2020-02-28T04:43:02,480,13,283,2020-02-28,02-28-2020.csv,2026-05-18 17:40:40.519661
Beijing,Mainland China,2020-02-28T02:23:05,410,7,257,2020-02-28,02-28-2020.csv,2026-05-18 17:40:40.519661
,Iran,2020-02-28T15:43:03,388,34,73,2020-02-28,02-28-2020.csv,2026-05-18 17:40:40.519661
