Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,_report_date,_source_file,_ingested_at
Hubei,Mainland China,2020-03-02T15:03:23,67103,2803,33934,30.9756,112.2707,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,South Korea,2020-03-02T20:23:16,4335,28,30,36.0,128.0,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Italy,2020-03-02T20:23:16,2036,52,149,43.0,12.0,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Iran,2020-03-02T20:23:16,1501,66,291,32.0,53.0,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Guangdong,Mainland China,2020-03-02T15:03:23,1350,7,1059,23.3417,113.4244,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Henan,Mainland China,2020-03-02T11:43:03,1272,22,1205,33.882,113.614,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Zhejiang,Mainland China,2020-03-02T11:43:03,1206,1,1069,29.1832,120.0934,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Hunan,Mainland China,2020-03-02T11:43:03,1018,4,887,27.6104,111.7088,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Anhui,Mainland China,2020-03-02T15:03:23,990,6,917,31.8257,117.2264,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Jiangxi,Mainland China,2020-03-02T01:33:02,935,1,850,27.614,115.7221,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Shandong,Mainland China,2020-03-02T08:03:12,758,6,460,36.3427,118.1498,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Diamond Princess cruise ship,Others,2020-03-02T14:33:03,705,6,10,35.4437,139.638,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Jiangsu,Mainland China,2020-03-02T12:53:02,631,0,543,32.9711,119.455,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Chongqing,Mainland China,2020-03-02T23:23:02,576,6,469,30.0572,107.874,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Sichuan,Mainland China,2020-03-02T15:03:23,538,3,386,30.6171,102.7103,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Heilongjiang,Mainland China,2020-03-02T12:53:02,480,13,356,47.862,127.7615,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Beijing,Mainland China,2020-03-02T02:13:16,414,8,282,40.1824,116.4142,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Shanghai,Mainland China,2020-03-02T04:03:13,337,3,292,31.202,121.4491,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Hebei,Mainland China,2020-03-02T09:43:05,318,6,296,38.0428,114.5149,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Fujian,Mainland China,2020-03-02T12:53:02,296,1,255,26.0789,117.9874,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Japan,2020-03-02T20:33:02,274,6,32,36.0,138.0,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Guangxi,Mainland China,2020-03-02T12:53:02,252,2,192,23.8298,108.7881,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Shaanxi,Mainland China,2020-03-02T08:03:12,245,1,216,35.1917,108.8701,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,France,2020-03-02T20:33:02,191,3,12,47.0,2.0,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Yunnan,Mainland China,2020-03-02T06:23:04,174,2,168,24.974,101.487,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Hainan,Mainland China,2020-03-02T02:03:18,168,5,151,19.1959,109.7453,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Germany,2020-03-02T20:33:02,159,0,16,51.0,9.0,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Guizhou,Mainland China,2020-03-02T01:13:06,146,2,114,26.8154,106.8748,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Tianjin,Mainland China,2020-03-01T12:43:02,136,3,111,39.3054,117.323,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Shanxi,Mainland China,2020-03-02T23:23:02,133,0,119,37.5777,112.2922,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Liaoning,Mainland China,2020-03-01T12:23:06,122,1,103,41.2956,122.6085,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Spain,2020-03-02T14:43:05,120,0,2,40.0,-4.0,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Singapore,2020-03-02T20:33:02,108,0,78,1.2833,103.8333,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Hong Kong,Hong Kong,2020-03-02T23:53:02,100,2,36,22.3,114.2,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Jilin,Mainland China,2020-03-02T15:03:23,93,1,83,43.6661,126.1923,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Gansu,Mainland China,2020-03-02T15:03:23,91,2,85,36.0611,103.8343,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Xinjiang,Mainland China,2020-03-02T15:43:31,76,3,66,41.1129,85.2401,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Inner Mongolia,Mainland China,2020-03-02T10:23:04,75,0,54,44.0935,113.9448,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Ningxia,Mainland China,2020-03-02T01:33:02,74,0,69,37.2692,106.1655,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Kuwait,2020-03-02T20:33:02,56,0,0,29.5,47.75,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Bahrain,2020-03-02T20:33:02,49,0,0,26.0275,50.55,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Unassigned Location (From Diamond Princess),US,2020-03-02T19:53:03,45,0,0,35.4437,139.638,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Thailand,2020-03-02T06:23:04,43,1,31,15.0,101.0,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Switzerland,2020-03-02T22:33:09,42,0,0,46.8182,8.2275,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Taiwan,Taiwan,2020-03-02T08:03:12,41,1,12,23.7,121.0,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Unknown,United Kingdom,2020-03-02T20:33:02,40,0,8,55.0,-3.0,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Iraq,2020-03-02T20:53:02,26,0,0,33.0,44.0,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Norway,2020-03-02T20:53:02,25,0,0,60.472,8.4689,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,United Arab Emirates,2020-02-29T12:33:03,21,0,5,24.0,54.0,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Austria,2020-03-02T21:23:04,8,0,0,47.5162,14.5501,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18,35.7452,95.9956,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Netherlands,2020-03-02T20:53:02,18,0,0,52.1326,5.2913,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
"Toronto, ON",Canada,2020-03-02T20:53:02,17,0,2,43.6532,-79.3832,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Vietnam,2020-02-25T08:53:02,16,0,16,16.0,108.0,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Sweden,2020-03-02T20:53:02,15,0,0,63.0,16.0,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
"King County, WA",US,2020-03-02T20:23:16,14,5,1,47.548,-121.9836,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Lebanon,2020-03-02T20:53:02,13,0,0,33.8547,35.8623,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Israel,2020-03-01T23:23:02,12,0,0,31.0,35.0,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Macau,Macau,2020-02-27T12:43:02,10,0,8,22.1667,113.55,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Queensland,Australia,2020-02-29T02:03:10,9,0,1,-28.0167,153.4,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Victoria,Australia,2020-03-02T00:53:03,9,0,4,-37.8136,144.9631,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
"Santa Clara, CA",US,2020-03-02T20:33:02,9,0,1,37.3541,-121.9552,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Belgium,2020-03-02T20:53:02,8,0,1,50.8333,4.0,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
British Columbia,Canada,2020-02-29T23:23:13,8,0,3,49.2827,-123.1207,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,San Marino,2020-03-02T01:03:12,1,1,0,43.9424,12.4578,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Croatia,2020-03-01T23:33:03,7,0,0,45.1,15.2,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Greece,2020-03-01T23:23:02,7,0,0,39.0742,21.8243,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
New South Wales,Australia,2020-03-01T23:33:03,6,0,4,-33.8688,151.2093,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Ecuador,2020-03-01T23:33:03,6,0,0,-1.8312,-78.1834,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Finland,2020-03-01T23:23:02,10,0,1,64.0,26.0,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Iceland,2020-03-02T22:33:09,6,0,0,64.9631,-19.0208,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Oman,2020-02-29T12:33:03,6,0,1,21.0,57.0,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,India,2020-03-02T22:33:09,5,0,3,21.0,78.0,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Mexico,2020-03-01T23:33:03,5,0,0,23.0,-102.0,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Denmark,2020-03-01T23:33:03,4,0,0,56.2639,9.5018,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Pakistan,2020-02-29T18:03:05,4,0,0,30.3753,69.3451,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
"Cook County, IL",US,2020-03-02T20:33:02,4,0,2,41.7377,-87.6976,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
"Snohomish County, WA",US,2020-03-02T20:53:02,4,1,0,48.033,-121.8339,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Algeria,2020-03-02T00:53:03,3,0,0,28.0339,1.6596,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
South Australia,Australia,2020-02-29T02:03:10,3,0,2,-34.9285,138.6007,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Azerbaijan,2020-03-01T02:43:03,3,0,0,40.1431,47.5769,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Czech Republic,2020-03-02T16:33:02,3,0,0,49.8175,15.473,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Georgia,2020-03-01T15:43:03,3,0,0,42.3154,43.3569,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Philippines,2020-02-12T07:43:02,3,1,1,13.0,122.0,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Qatar,2020-03-01T23:33:03,3,0,0,25.3548,51.1839,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Romania,2020-02-28T15:33:03,3,0,0,45.9432,24.9668,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Russia,2020-03-02T21:23:04,3,0,2,60.0,90.0,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Western Australia,Australia,2020-03-01T02:43:03,2,1,0,-31.9505,115.8605,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Brazil,2020-02-29T21:03:05,2,0,0,-14.235,-51.9253,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Egypt,2020-03-01T23:33:03,2,0,1,26.0,30.0,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Indonesia,2020-03-02T18:03:04,2,0,0,-0.7893,113.9213,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Portugal,2020-03-02T22:43:02,2,0,0,39.3999,-8.2245,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
"Portland, OR",US,2020-03-02T03:33:08,2,0,0,45.5051,-122.675,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
"Providence, RI",US,2020-03-02T03:43:02,2,0,0,41.824,-71.4128,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
"Sacramento County, CA",US,2020-02-27T20:33:02,2,0,0,38.4747,-121.3542,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,36.5761,-120.9876,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
"San Diego County, CA",US,2020-02-21T05:43:02,2,0,1,32.7157,-117.1611,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Afghanistan,2020-02-24T23:33:02,5,0,0,33.0,65.0,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Andorra,2020-03-02T20:23:16,1,0,0,42.5063,1.5218,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Armenia,2020-03-01T19:53:02,1,0,0,40.0691,45.0382,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Tasmania,Australia,2020-03-02T20:53:02,1,0,0,-41.4545,145.9707,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Belarus,2020-02-28T16:23:03,1,0,0,53.7098,27.9534,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Cambodia,2020-02-12T07:43:02,1,0,1,11.55,104.9167,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
" Montreal, QC",Canada,2020-02-28T05:23:07,6,0,0,45.5017,-73.5673,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
"London, ON",Canada,2020-02-12T18:53:03,1,0,1,42.9849,-81.2453,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Dominican Republic,2020-03-02T16:33:02,1,0,0,18.7357,-70.1627,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Estonia,2020-02-27T16:23:03,1,0,0,58.5953,25.0136,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Ireland,2020-03-01T07:13:07,1,0,0,53.1424,-7.6921,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Latvia,2020-03-02T20:13:49,1,0,0,56.8796,24.6032,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Lithuania,2020-02-28T16:23:03,0,0,0,55.1694,23.8813,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Luxembourg,2020-03-01T07:13:07,1,0,0,49.8153,6.1296,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1,31.6927,88.0924,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Monaco,2020-02-29T00:33:01,1,0,0,43.7333,7.4167,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Morocco,2020-03-02T22:33:09,1,0,0,31.7917,-7.0926,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Nepal,2020-02-12T14:43:03,1,0,1,28.1667,84.25,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,New Zealand,2020-02-28T16:23:03,1,0,0,-40.9006,174.886,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Nigeria,2020-02-28T16:23:03,1,0,0,9.082,8.6753,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,North Macedonia,2020-02-27T16:23:03,1,0,0,41.6086,21.7453,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Saudi Arabia,2020-03-02T23:53:02,1,0,0,24.0,45.0,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Senegal,2020-03-02T20:23:16,1,0,0,14.4974,-14.4524,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
,Sri Lanka,2020-02-08T03:43:03,1,0,1,7.0,81.0,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
"Boston, MA",US,2020-02-28T21:13:12,1,0,1,42.3601,-71.0589,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
"Grafton County, NH",US,2020-03-02T20:33:02,1,0,0,43.9088,-71.826,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
"Hillsborough, FL",US,2020-03-02T03:13:25,1,0,0,27.9904,-82.3018,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
"Humboldt County, CA",US,2020-02-21T05:13:09,1,0,0,40.745,-123.8695,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
"Los Angeles, CA",US,2020-02-01T19:53:03,1,0,0,34.0522,-118.2437,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
"Madison, WI",US,2020-02-05T21:53:02,1,0,0,43.0731,-89.4012,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
"New York City, NY",US,2020-03-02T01:53:03,1,0,0,40.7128,-74.006,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
"Orange, CA",US,2020-02-01T19:53:03,1,0,0,33.7879,-117.8531,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
"Placer County, CA",US,2020-03-02T23:53:02,1,0,0,39.0916,-120.8039,2020-03-02,03-02-2020.csv,2026-05-18 17:40:42.548134
