Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,_report_date,_source_file,_ingested_at
Hubei,Mainland China,2020-02-14T23:33:02,54406,1457,4774,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Guangdong,Mainland China,2020-02-14T12:53:02,1261,2,362,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Henan,Mainland China,2020-02-14T12:53:02,1184,11,357,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Zhejiang,Mainland China,2020-02-14T14:13:15,1155,0,403,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Hunan,Mainland China,2020-02-14T09:23:04,988,2,364,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Anhui,Mainland China,2020-02-14T12:53:02,934,6,193,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Jiangxi,Mainland China,2020-02-14T01:13:06,900,1,187,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Jiangsu,Mainland China,2020-02-14T10:03:03,593,0,157,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Chongqing,Mainland China,2020-02-14T23:33:02,537,5,152,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Shandong,Mainland China,2020-02-14T11:13:22,523,2,136,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Sichuan,Mainland China,2020-02-14T11:13:22,463,1,114,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Heilongjiang,Mainland China,2020-02-14T13:23:07,419,11,47,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Beijing,Mainland China,2020-02-14T06:33:02,372,3,80,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Shanghai,Mainland China,2020-02-14T04:13:11,318,1,90,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Hebei,Mainland China,2020-02-14T11:13:22,283,3,87,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Fujian,Mainland China,2020-02-14T11:13:22,281,0,63,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Shaanxi,Mainland China,2020-02-14T12:53:02,230,0,54,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Guangxi,Mainland China,2020-02-14T15:23:02,226,2,36,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Diamond Princess cruise ship,Others,2020-02-14T00:13:23,218,0,0,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Yunnan,Mainland China,2020-02-14T12:53:02,162,0,36,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Hainan,Mainland China,2020-02-14T15:23:02,159,4,43,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Guizhou,Mainland China,2020-02-14T01:53:02,140,1,28,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Shanxi,Mainland China,2020-02-14T23:23:04,127,0,38,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Tianjin,Mainland China,2020-02-14T11:13:22,120,3,31,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Liaoning,Mainland China,2020-02-14T15:23:02,119,1,29,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Gansu,Mainland China,2020-02-13T15:53:03,90,2,39,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Jilin,Mainland China,2020-02-14T00:43:02,86,1,25,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Ningxia,Mainland China,2020-02-14T01:43:02,67,0,24,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
,Singapore,2020-02-14T12:43:02,67,0,17,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Inner Mongolia,Mainland China,2020-02-14T02:03:08,65,0,6,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Xinjiang,Mainland China,2020-02-14T01:13:06,65,1,6,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
Hong Kong,Hong Kong,2020-02-14T09:03:12,56,1,1,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
,Thailand,2020-02-13T17:53:03,33,0,11,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
,Japan,2020-02-14T03:53:02,29,1,9,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
,South Korea,2020-02-12T14:43:03,28,0,7,2020-02-14,02-14-2020.csv,2026-05-18 17:40:31.488493
