Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,_report_date,_source_file,_ingested_at
Hubei,Mainland China,1/30/20 16:00,4903.0,162.0,90.0,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Zhejiang,Mainland China,1/30/20 16:00,428.0,,4.0,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Guangdong,Mainland China,1/30/20 16:00,354.0,,10.0,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Henan,Mainland China,1/30/20 16:00,278.0,2.0,2.0,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Hunan,Mainland China,1/30/20 16:00,277.0,,2.0,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Anhui,Mainland China,1/30/20 16:00,200.0,,2.0,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Chongqing,Mainland China,1/30/20 16:00,182.0,,1.0,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Jiangxi,Mainland China,1/30/20 16:00,162.0,,5.0,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Shandong,Mainland China,1/30/20 16:00,158.0,,1.0,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Sichuan,Mainland China,1/30/20 16:00,142.0,1.0,1.0,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Jiangsu,Mainland China,1/30/20 16:00,129.0,,1.0,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Beijing,Mainland China,1/30/20 16:00,114.0,1.0,4.0,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Shanghai,Mainland China,1/30/20 16:00,112.0,1.0,5.0,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Fujian,Mainland China,1/30/20 16:00,101.0,,,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Guangxi,Mainland China,1/30/20 16:00,78.0,,2.0,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Yunnan,Mainland China,1/30/20 16:00,70.0,,,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Hebei,Mainland China,1/30/20 16:00,65.0,1.0,,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Shaanxi,Mainland China,1/30/20 16:00,63.0,,,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Hainan,Mainland China,1/30/20 16:00,46.0,1.0,1.0,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Heilongjiang,Mainland China,1/30/20 16:00,44.0,2.0,,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Liaoning,Mainland China,1/30/20 16:00,41.0,,1.0,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Shanxi,Mainland China,1/30/20 16:00,35.0,,1.0,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Tianjin,Mainland China,1/30/20 16:00,31.0,,,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Gansu,Mainland China,1/30/20 16:00,26.0,,,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Inner Mongolia,Mainland China,1/30/20 16:00,19.0,,,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Ningxia,Mainland China,1/30/20 16:00,17.0,,,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Jilin,Mainland China,1/30/20 16:00,14.0,,1.0,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
Xinjiang,Mainland China,1/30/20 16:00,14.0,,,2020-01-30,01-30-2020.csv,2026-05-18 17:40:21.892908
