Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,_report_date,_source_file,_ingested_at
Hubei,Mainland China,2020-02-07T23:43:02,24953,699,1115,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Guangdong,Mainland China,2020-02-07T10:13:06,1034,1,88,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Zhejiang,Mainland China,2020-02-07T11:33:11,1006,0,123,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Henan,Mainland China,2020-02-07T14:03:12,914,3,86,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Hunan,Mainland China,2020-02-07T11:33:11,772,0,112,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Anhui,Mainland China,2020-02-07T05:13:07,665,0,47,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Jiangxi,Mainland China,2020-02-07T01:23:02,661,0,45,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Chongqing,Mainland China,2020-02-07T23:33:02,426,2,31,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Jiangsu,Mainland China,2020-02-07T14:03:12,408,0,43,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Shandong,Mainland China,2020-02-07T11:33:11,386,0,37,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Sichuan,Mainland China,2020-02-07T08:23:09,344,1,42,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Beijing,Mainland China,2020-02-07T03:23:02,297,1,33,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Heilongjiang,Mainland China,2020-02-07T07:43:02,277,3,12,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Shanghai,Mainland China,2020-02-07T06:14:15,277,1,30,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Fujian,Mainland China,2020-02-07T13:23:03,224,0,20,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Shaanxi,Mainland China,2020-02-07T08:23:09,184,0,17,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Guangxi,Mainland China,2020-02-07T00:33:02,172,0,17,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Hebei,Mainland China,2020-02-07T12:03:04,172,1,22,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Yunnan,Mainland China,2020-02-07T23:23:04,138,0,12,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Hainan,Mainland China,2020-02-07T12:33:02,117,2,10,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Shanxi,Mainland China,2020-02-07T23:43:02,104,0,15,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Liaoning,Mainland China,2020-02-07T15:33:03,99,0,7,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Guizhou,Mainland China,2020-02-07T11:13:07,81,1,6,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Tianjin,Mainland China,2020-02-07T05:43:03,81,1,2,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Gansu,Mainland China,2020-02-07T02:33:06,67,0,9,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Jilin,Mainland China,2020-02-07T00:43:02,65,1,4,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Cruise Ship,Others,2020-02-07T16:33:03,61,0,0,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Inner Mongolia,Mainland China,2020-02-07T11:13:07,50,0,5,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Ningxia,Mainland China,2020-02-07T11:13:07,43,0,5,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Xinjiang,Mainland China,2020-02-07T01:43:02,39,0,0,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
,Singapore,2020-02-07T03:03:03,30,0,0,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
Hong Kong,Hong Kong,2020-02-07T11:53:02,25,1,0,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
,Japan,2020-02-07T04:13:20,25,0,1,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
,Thailand,2020-02-04T15:33:03,25,0,10,2020-02-07,02-07-2020.csv,2026-05-18 17:40:27.077016
