Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,_report_date,_source_file,_ingested_at
Taiwan,Taiwan,2020-03-01T07:43:01,40,1,9,23.7,121.0,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Unknown,United Kingdom,2020-03-01T23:23:02,36,0,8,55.0,-3.0,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Switzerland,2020-03-01T23:23:02,27,0,0,46.8182,8.2275,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,United Arab Emirates,2020-02-29T12:33:03,21,0,5,24.0,54.0,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Iraq,2020-03-01T16:43:02,19,0,0,33.0,44.0,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Norway,2020-03-01T20:43:02,19,0,0,60.472,8.4689,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18,35.7452,95.9956,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Vietnam,2020-02-25T08:53:02,16,0,16,16.0,108.0,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Austria,2020-03-01T23:33:03,7,0,0,47.5162,14.5501,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
"Toronto, ON",Canada,2020-03-01T23:33:03,14,0,2,43.6532,-79.3832,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Sweden,2020-03-01T23:23:02,14,0,0,63.0,16.0,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Israel,2020-03-01T23:23:02,7,0,0,31.0,35.0,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Lebanon,2020-03-01T15:33:03,10,0,0,33.8547,35.8623,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Macau,Macau,2020-02-27T12:43:02,10,0,8,22.1667,113.55,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Netherlands,2020-03-01T15:33:03,10,0,0,52.1326,5.2913,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Queensland,Australia,2020-02-29T02:03:10,9,0,1,-28.0167,153.4,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
"Seattle, WA",US,2020-03-01T21:13:12,9,1,1,47.6062,-122.3321,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
British Columbia,Canada,2020-02-29T23:23:13,8,0,3,49.2827,-123.1207,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
Victoria,Australia,2020-02-29T02:03:10,7,0,4,-37.8136,144.9631,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Croatia,2020-03-01T23:33:03,7,0,0,45.1,15.2,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Greece,2020-03-01T23:23:02,7,0,0,39.0742,21.8243,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
New South Wales,Australia,2020-03-01T23:33:03,6,0,4,-33.8688,151.2093,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Ecuador,2020-03-01T23:33:03,6,0,0,-1.8312,-78.1834,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Finland,2020-03-01T23:23:02,9,0,1,64.0,26.0,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Oman,2020-02-29T12:33:03,6,0,1,21.0,57.0,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Mexico,2020-03-01T23:33:03,5,0,0,23.0,-102.0,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Denmark,2020-03-01T23:33:03,4,0,0,56.2639,9.5018,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Pakistan,2020-02-29T18:03:05,4,0,0,30.3753,69.3451,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
South Australia,Australia,2020-02-29T02:03:10,3,0,2,-34.9285,138.6007,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
,Azerbaijan,2020-03-01T02:43:03,3,0,0,40.1431,47.5769,2020-03-01,03-01-2020.csv,2026-05-18 17:40:41.876588
