Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,_report_date,_source_file,_ingested_at
Hubei,China,2020-03-14T10:13:09,67790,3075,52960,30.9756,112.2707,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Italy,2020-03-14T20:13:16,21157,1441,1966,41.8719,12.5674,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Iran,2020-03-14T11:33:06,12729,611,2959,32.4279,53.688,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,"Korea, South",2020-03-14T01:33:02,8086,72,510,35.9078,127.7669,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Spain,2020-03-14T22:13:11,6391,195,517,40.4637,-3.7492,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Germany,2020-03-14T22:13:11,4585,9,46,51.1657,10.4515,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
France,France,2020-03-14T20:13:16,4469,91,12,46.2276,2.2137,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Switzerland,2020-03-14T11:53:29,1359,14,4,46.8182,8.2275,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Guangdong,China,2020-03-14T01:13:11,1356,8,1299,23.3417,113.4244,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Henan,China,2020-03-14T09:53:08,1273,22,1250,33.882,113.614,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Zhejiang,China,2020-03-14T02:14:15,1227,1,1211,29.1832,120.0934,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Unknown,United Kingdom,2020-03-14T14:53:04,1140,0,18,55.3781,-3.436,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Norway,2020-03-14T22:13:11,1090,3,1,60.472,8.4689,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Hunan,China,2020-03-14T08:33:03,1018,4,1014,27.6104,111.7088,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Anhui,China,2020-03-11T02:18:14,990,6,984,31.8257,117.2264,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Sweden,2020-03-14T22:13:11,961,2,1,60.1282,18.6435,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Netherlands,2020-03-14T22:13:11,959,12,2,52.1326,5.2913,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Jiangxi,China,2020-03-12T02:13:04,935,1,934,27.614,115.7221,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Denmark,Denmark,2020-03-14T22:13:32,827,1,1,56.2639,9.5018,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Japan,2020-03-14T22:33:03,773,22,118,36.2048,138.2529,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Shandong,China,2020-03-14T04:33:02,760,7,741,36.3427,118.1498,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Diamond Princess,Cruise Ship,2020-03-13T14:13:25,696,7,325,35.4498,139.6649,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Belgium,2020-03-14T11:53:29,689,4,1,50.5039,4.4699,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Austria,2020-03-14T16:13:55,409,1,6,47.5162,14.5501,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Jiangsu,China,2020-03-13T11:09:03,631,0,630,32.9711,119.455,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Chongqing,China,2020-03-14T23:53:02,576,6,569,30.0572,107.874,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Washington,US,2020-03-14T22:13:19,572,37,1,47.4009,-121.4905,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Sichuan,China,2020-03-14T04:33:02,539,3,511,30.6171,102.7103,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
New York,US,2020-03-14T22:13:32,525,2,0,42.1657,-74.9481,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Heilongjiang,China,2020-03-14T00:13:05,482,13,447,47.862,127.7615,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Beijing,China,2020-03-14T02:13:47,437,8,349,40.1824,116.4142,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Shanghai,China,2020-03-14T23:53:02,353,3,324,31.202,121.4491,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
California,US,2020-03-14T22:13:32,340,5,6,36.1162,-119.6816,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Qatar,2020-03-14T22:33:03,337,0,4,25.3548,51.1839,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Hebei,China,2020-03-13T11:09:03,318,6,310,38.0428,114.5149,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Fujian,China,2020-03-11T02:18:14,296,1,295,26.0789,117.9874,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Guangxi,China,2020-03-13T11:09:03,252,2,243,23.8298,108.7881,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Shaanxi,China,2020-03-12T01:33:02,245,2,232,35.1917,108.8701,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Greece,2020-03-14T22:33:03,228,3,8,39.0742,21.8243,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Finland,2020-03-14T22:33:03,279,2,1,61.9241,25.7482,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Singapore,2020-03-14T16:14:30,212,0,105,1.3521,103.8198,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Bahrain,2020-03-14T11:53:29,210,0,44,26.0667,50.5577,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Israel,2020-03-14T20:13:16,176,0,1,31.0461,34.8516,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Czechia,2020-03-14T20:13:16,189,0,0,49.8175,15.473,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Slovenia,2020-03-14T22:33:03,181,1,0,46.1512,14.9955,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Yunnan,China,2020-03-14T23:33:02,174,2,172,24.974,101.487,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Portugal,2020-03-14T16:14:47,169,0,2,39.3999,-8.2245,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Hainan,China,2020-03-12T03:53:02,168,6,160,19.1959,109.7453,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Iceland,2020-03-14T14:53:04,156,0,1,64.9631,-19.0208,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Brazil,2020-03-13T22:21:58,151,0,0,-14.235,-51.9253,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Guizhou,China,2020-03-14T00:53:03,146,2,143,26.8154,106.8748,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Hong Kong,China,2020-03-14T12:53:06,140,4,78,22.3,114.2,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Massachusetts,US,2020-03-14T22:13:19,138,0,1,42.2302,-71.5301,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Tianjin,China,2020-03-12T01:53:03,136,3,132,39.3054,117.323,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Shanxi,China,2020-03-13T11:09:03,133,0,133,37.5777,112.2922,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Gansu,China,2020-03-14T03:13:08,129,2,89,36.0611,103.8343,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Ireland,2020-03-14T20:13:16,129,2,0,53.1424,-7.6921,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Liaoning,China,2020-03-14T00:13:05,125,1,113,41.2956,122.6085,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Romania,2020-03-14T22:33:03,123,0,9,45.9432,24.9668,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Estonia,2020-03-14T20:33:03,115,0,0,58.5953,25.0136,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
New South Wales,Australia,2020-03-14T13:33:04,112,2,4,-33.8688,151.2093,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Philippines,2020-03-14T20:33:03,111,8,2,12.8797,121.774,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Iraq,2020-03-14T22:33:03,110,10,26,33.2232,43.6793,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Egypt,2020-03-14T22:33:03,109,2,27,26.8206,30.8025,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Kuwait,2020-03-14T16:14:34,104,0,5,29.3117,47.4818,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Poland,2020-03-14T22:53:02,103,3,0,51.9194,19.1451,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Saudi Arabia,2020-03-14T20:33:03,103,0,1,23.8859,45.0792,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,India,2020-03-14T20:33:03,102,2,4,20.5937,78.9629,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Colorado,US,2020-03-14T22:13:32,101,1,0,39.0598,-105.3111,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Indonesia,2020-03-14T22:53:02,96,5,8,-0.7893,113.9213,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Jilin,China,2020-03-13T11:09:03,93,1,91,43.6661,126.1923,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Lebanon,2020-03-14T12:13:12,93,3,1,33.8547,35.8623,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,United Arab Emirates,2020-03-13T22:21:58,85,0,17,23.4241,53.8478,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Thailand,2020-03-14T12:13:12,82,1,35,15.87,100.9925,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,San Marino,2020-03-14T22:53:02,77,5,4,43.9424,12.4578,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Ontario,Canada,2020-03-14T13:13:25,296,4,4,51.2538,-85.3232,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Louisiana,US,2020-03-14T22:13:32,77,1,0,31.1695,-91.8678,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Xinjiang,China,2020-03-11T02:18:14,76,3,73,41.1129,85.2401,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Florida,US,2020-03-14T18:53:03,76,3,0,27.7663,-81.6868,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Inner Mongolia,China,2020-03-11T03:53:03,75,1,71,44.0935,113.9448,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Ningxia,China,2020-03-14T09:53:08,75,0,73,37.2692,106.1655,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
New Jersey,US,2020-03-14T22:13:32,69,1,0,40.2989,-74.521,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Georgia,US,2020-03-14T17:53:03,66,1,0,33.0406,-83.6431,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
British Columbia,Canada,2020-03-14T00:13:05,64,1,4,53.7267,-127.6476,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Illinois,US,2020-03-14T22:33:04,64,0,2,40.3495,-88.9861,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Chile,2020-03-14T20:33:03,61,0,0,-35.6751,-71.543,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Russia,2020-03-14T22:53:02,59,0,8,61.524,105.3188,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Texas,US,2020-03-14T22:33:03,57,0,0,31.0545,-97.5635,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Taiwan*,2020-03-14T07:13:11,53,1,20,23.7,121.0,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Vietnam,2020-03-14T12:13:12,53,0,16,14.0583,108.2772,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Luxembourg,2020-03-14T20:33:03,51,1,0,49.8153,6.1296,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Victoria,Australia,2020-03-14T13:33:04,49,0,8,-37.8136,144.9631,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Pennsylvania,US,2020-03-14T18:53:03,47,0,0,40.5908,-77.2098,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Queensland,Australia,2020-03-14T13:33:04,46,0,8,-28.0167,153.4,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Serbia,2020-03-14T22:53:02,46,0,0,44.0165,21.0059,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Diamond Princess,US,2020-03-10T02:33:04,46,0,0,35.4437,139.638,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Slovakia,2020-03-14T20:33:03,32,0,0,48.669,19.699,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Bulgaria,2020-03-14T20:33:03,41,2,0,42.7339,25.4858,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Virginia,US,2020-03-14T22:33:03,41,1,0,37.7693,-78.17,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Brunei,2020-03-14T20:33:03,40,0,0,4.5353,114.7277,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Albania,2020-03-14T12:33:03,38,1,0,41.1533,20.1683,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Croatia,2020-03-14T20:33:03,38,0,1,45.1,15.2,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Peru,2020-03-14T12:33:03,38,3,0,-9.19,-75.0152,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,South Africa,2020-03-14T16:14:56,38,0,0,-30.5595,22.9375,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Algeria,2020-03-14T12:33:03,37,3,12,28.0339,1.6596,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Panama,2020-03-14T12:33:03,36,1,0,8.538,-80.7821,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Argentina,2020-03-14T20:33:03,34,2,1,-38.4161,-63.6167,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Oregon,US,2020-03-14T16:33:03,32,0,0,44.572,-122.0709,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Tennessee,US,2020-03-14T22:33:04,32,0,0,35.7478,-86.6923,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Pakistan,2020-03-14T20:33:03,31,0,2,30.3753,69.3451,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Georgia,2020-03-14T12:33:03,30,0,0,42.3154,43.3569,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Hungary,2020-03-14T22:53:02,30,0,1,47.1625,19.5033,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Alberta,Canada,2020-03-14T00:13:05,29,0,0,53.9333,-116.5765,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Ecuador,2020-03-14T22:53:02,28,2,0,-1.8312,-78.1834,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Belarus,2020-03-13T22:21:59,27,0,3,53.7098,27.9534,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Wisconsin,US,2020-03-14T22:33:03,27,0,1,44.2685,-89.6165,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Costa Rica,2020-03-14T12:33:03,26,0,0,9.7489,-83.7534,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Cyprus,2020-03-14T22:53:02,14,0,0,35.1264,33.4299,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Latvia,2020-03-14T12:33:03,26,0,1,56.8796,24.6032,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Mexico,2020-03-14T20:53:02,26,0,4,23.6345,-102.5528,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Maryland,US,2020-03-14T22:33:03,26,0,0,39.0639,-76.8021,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Ohio,US,2020-03-14T18:53:03,26,0,0,40.3888,-82.7649,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Michigan,US,2020-03-14T16:53:03,25,0,0,43.3266,-84.5361,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
North Carolina,US,2020-03-14T18:13:23,24,0,0,35.6301,-79.8064,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Colombia,2020-03-14T20:53:02,22,0,0,4.5709,-74.2973,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Connecticut,US,2020-03-14T22:33:03,22,0,0,41.5978,-72.7554,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Grand Princess,US,2020-03-10T02:33:04,21,0,0,37.6489,-122.6655,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Minnesota,US,2020-03-14T18:53:03,21,0,0,45.6945,-93.9002,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Nevada,US,2020-03-14T22:33:03,21,0,0,38.3135,-117.0554,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Rhode Island,US,2020-03-14T18:53:03,20,0,0,41.6809,-71.5118,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
South Australia,Australia,2020-03-14T13:33:04,19,0,3,-34.9285,138.6007,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Oman,2020-03-13T23:33:05,19,0,9,21.4735,55.9754,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
South Carolina,US,2020-03-14T22:33:03,19,0,0,33.8569,-80.945,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Armenia,2020-03-14T20:53:02,18,0,0,40.0691,45.0382,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Bosnia and Herzegovina,2020-03-14T12:33:03,18,0,0,43.9159,17.6791,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Qinghai,China,2020-03-11T02:18:14,18,0,18,35.7452,95.9956,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Malta,2020-03-14T12:33:03,18,0,1,35.9375,14.3754,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Tunisia,2020-03-14T20:53:02,18,0,0,33.8869,9.5375,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Western Australia,Australia,2020-03-14T13:33:04,17,1,0,-31.9505,115.8605,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Quebec,Canada,2020-03-13T13:33:03,55,0,0,52.9399,-73.5491,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Morocco,2020-03-14T20:53:02,17,1,1,31.7917,-7.0926,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Iowa,US,2020-03-13T23:53:03,17,0,0,42.0115,-93.2105,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Indiana,US,2020-03-14T16:53:03,16,0,0,39.8494,-86.2583,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Azerbaijan,2020-03-13T12:13:36,15,1,3,40.1431,47.5769,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,North Macedonia,2020-03-13T23:33:05,14,0,1,41.6086,21.7453,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Kentucky,US,2020-03-13T23:53:03,14,0,0,37.6681,-84.6701,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Nebraska,US,2020-03-14T16:53:03,14,0,0,41.1254,-98.2681,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Moldova,2020-03-14T20:53:02,12,0,0,47.4116,28.3699,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Arizona,US,2020-03-14T18:13:23,12,0,1,33.7298,-111.4312,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Arkansas,US,2020-03-14T22:33:03,12,0,0,34.9697,-92.3731,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Afghanistan,2020-03-14T14:53:04,14,0,0,33.9391,67.71,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Dominican Republic,2020-03-14T20:53:02,11,0,0,18.7357,-70.1627,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Bolivia,2020-03-14T12:53:07,10,0,0,-16.2902,-63.5887,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Macau,China,2020-03-11T18:52:03,10,0,10,22.1667,113.55,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Maldives,2020-03-14T16:14:58,10,0,0,3.2028,73.2207,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Senegal,2020-03-13T23:33:05,10,0,1,14.4974,-14.4524,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Sri Lanka,2020-03-14T16:14:58,10,0,1,7.8731,80.7718,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
District of Columbia,US,2020-03-11T22:53:03,10,0,0,38.8974,-77.0268,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
New Mexico,US,2020-03-14T00:13:05,10,0,0,34.8405,-106.2485,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Utah,US,2020-03-14T18:53:03,10,0,0,40.15,-111.8624,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Faroe Islands,Denmark,2020-03-14T16:33:03,9,0,0,61.8926,-6.9118,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Martinique,2020-03-14T14:53:04,9,0,0,14.6415,-61.0242,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
South Dakota,US,2020-03-14T16:53:03,9,1,0,44.2998,-99.4388,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Jamaica,2020-03-13T22:22:02,8,0,0,18.1096,-77.2975,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Lithuania,2020-03-14T14:53:04,0,0,1,55.1694,23.8813,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Kansas,US,2020-03-14T22:33:03,8,1,0,38.5266,-96.7265,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Cambodia,2020-03-14T12:53:07,7,0,1,12.5657,104.991,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
New Hampshire,US,2020-03-14T16:53:03,7,0,0,43.4525,-71.5639,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Kazakhstan,2020-03-14T12:53:07,6,0,0,48.0196,66.9237,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,New Zealand,2020-03-14T20:53:02,6,0,0,-40.9006,174.886,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Paraguay,2020-03-13T23:33:06,7,0,0,-23.4425,-58.4438,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Reunion,2020-03-14T20:53:02,6,0,0,-21.1151,55.5364,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Alabama,US,2020-03-14T16:53:03,6,0,0,32.3182,-86.9023,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Delaware,US,2020-03-14T18:13:20,6,0,0,39.3185,-75.5071,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Mississippi,US,2020-03-14T16:53:03,6,0,0,32.7416,-89.6787,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Tasmania,Australia,2020-03-14T01:53:03,5,0,0,-41.4545,145.9707,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Fench Guiana,France,2020-03-14T16:53:03,5,0,0,4.0,-53.0,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,French Guiana,2020-03-07T03:23:05,5,0,0,3.9339,-53.1258,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Turkey,2020-03-13T23:33:06,5,0,0,38.9637,35.2433,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Montana,US,2020-03-14T16:53:03,5,0,0,46.9219,-110.4544,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Vermont,US,2020-03-14T22:33:04,5,0,0,44.0459,-72.7107,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Manitoba,Canada,2020-03-14T00:13:05,4,0,0,53.7609,-98.8139,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Cuba,2020-03-13T23:53:02,4,0,0,21.5218,-77.7812,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Liechtenstein,2020-03-14T20:53:02,7,0,0,47.166,9.5554,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Hawaii,US,2020-03-14T19:53:03,4,0,0,21.0943,-157.4983,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Missouri,US,2020-03-14T16:53:03,4,0,0,38.4561,-92.2884,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
Oklahoma,US,2020-03-14T16:53:03,4,0,0,35.5653,-96.9289,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Uruguay,2020-03-14T16:33:03,4,0,0,-32.5228,-55.7658,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Bangladesh,2020-03-13T22:22:02,3,0,0,23.685,90.3563,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
French Polynesia,France,2020-03-14T16:53:03,3,0,0,-17.6797,149.4068,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
,Ghana,2020-03-14T23:13:05,3,0,0,7.9465,-1.0232,2020-03-14,03-14-2020.csv,2026-05-18 17:40:50.310693
